"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"10797","CALIFORNIA STEEL INDUSTRIES","Steel","Energy & Natural Resources","Steel manufacturing",14.2857142857143,85.7142857142857,"#B80000AF","#B80000AF",7000
"22246139","LOS ANGELES COUNTY MEDICAL ASSOCIATION","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",13500
"129443","RINCON BAND OF LUISENO MISSION INDIANS OF THE RINCON RESERVATION","Tribal Governments","Government Agencies/Education/Other","Native American tribes & governing units",100,0,"#0000FFAF","#0000FFAF",12900
"22252338","EL DORADO ENTERPRISES INC DBA HUSTLER CASINO","Uncoded","Uncoded","Uncoded",90.9090909090909,9.09090909090909,"#0000CCAF","#0000CCAF",11000
"821","DOLLAR FINANCIAL GROUP","Payday/Title Loans","Finance, Insurance & Real Estate","Payday/Title Loans",100,0,"#0000FFAF","#0000FFAF",14000
"4778","DELTA WETLANDS PROPERTIES","Real Estate","Finance, Insurance & Real Estate","Real estate agents & managers",100,0,"#0000FFAF","#0000FFAF",20000
"11511","DAIICHI SANKYO","Pharmaceuticals & Health Products","Health","Pharmaceutical manufacturing",73.469387755102,26.530612244898,"#000075AF","#000075AF",19600
"18846","PLANNED PARENTHOOD OF SANTA BARBARA, VENTURA & SAN LUIS OBISPO COUNTIES","Health Services","Health","Health care services",100,0,"#0000FFAF","#0000FFAF",7000
"213751","EMPIRE TRANSPORTATION INC","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",7000
"264704","LANDMARK MEDICAL MANAGEMENT LLC","Health Services","Health","Health care services",100,0,"#0000FFAF","#0000FFAF",9000
"116","AMERICAN CHEMISTRY COUNCIL","Chemical & Related Manufacturing","General Business","Chemicals",79.6116504854369,20.3883495145631,"#000094AF","#000094AF",51500
"331","BAYER AG","Pharmaceuticals & Health Products","Health","Pharmaceutical manufacturing",67.0667447306792,32.9332552693208,"#000057AF","#000057AF",68320
"4795","TABLE MOUNTAIN RANCHERIA","Gambling & Casinos","General Business","Indian gaming",55.5555555555556,44.4444444444444,"#00001AAF","#00001AAF",9000
"914","ENTERPRISE HOLDINGS","Automotive","Transportation","Car & truck rental agencies",59.1463414634146,40.8536585365854,"#00002EAF","#00002EAF",41000
"946","EXXON MOBIL","Oil & Gas","Energy & Natural Resources","Major (multinational) oil & gas producers",48.0769230769231,51.9230769230769,"#0A0000AF","#0A0000AF",52000
"1212","HEALTH NET INC","Health Services","Health","HMOs",26.4507422402159,73.5492577597841,"#7A0000AF","#7A0000AF",37050
"11026082","CALIFORNIA INDEPENDENT TELEPHONE ASSOCIATION","Telecom Services & Equipment","Communications & Electronics","Telecommunications",51.440329218107,48.559670781893,"#000005AF","#000005AF",72900
"4065","MAYER BROWN LLP","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",100,0,"#0000FFAF","#0000FFAF",22900
"32312","CALIFORNIA PAWNBROKERS ASSOCIATION","Payday/Title Loans","Finance, Insurance & Real Estate","Payday/Title Loans",69.8550724637681,30.1449275362319,"#000061AF","#000061AF",86250
"26172019","WARNER BROS ENTERTAINMENT INC","Uncoded","Uncoded","Uncoded",86.6438356164384,13.3561643835616,"#0000B8AF","#0000B8AF",29200
"9588","CHECK INTO CASH","Payday/Title Loans","Finance, Insurance & Real Estate","Payday/Title Loans",93,7,"#0000DBAF","#0000DBAF",50000
"26400795","JOHN R LAWSON ROCK & OIL INC","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",9000
"21140","BROTHERHOOD OF LOCOMOTIVE ENGINEERS & TRAINMEN / BLET","Transportation Unions","Labor","Railroad unions",100,0,"#0000FFAF","#0000FFAF",11400
"402","BRADY CAMPAIGN TO PREVENT GUN VIOLENCE","Gun Control","Ideology/Single Issue","Pro-gun control",100,0,"#0000FFAF","#0000FFAF",5300
"11942","ENGINEERING & UTILITY CONTRACTORS ASSOCIATION","General Contractors","Construction","Builders associations",79.1666666666667,20.8333333333333,"#000094AF","#000094AF",16800
"195437","UNITED PUBLIC EMPLOYEES","Public Sector Unions","Labor","State & local government employee unions",100,0,"#0000FFAF","#0000FFAF",6900
"695","CORRECTIONS CORP OF AMERICA","Miscellaneous Business","General Business","Correctional facilities construction & management/for-profit",78.2608695652174,21.7391304347826,"#00008FAF","#00008FAF",64400
"915","ENTERTAINMENT SOFTWARE ASSOCIATION","Computer Equipment & Services","Communications & Electronics","Computer software",85.7019567158195,14.2980432841805,"#0000B3AF","#0000B3AF",52454.73
"10128","ASSOCIATION FOR LOS ANGELES DEPUTY SHERIFFS","Public Sector Unions","Labor","Police & fire fighters unions and associations",75.1269035532995,24.8730964467005,"#00007FAF","#00007FAF",19700
"29165","TAXPAYERS FOR BOB HUFF SENATE 2012","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",19599
"3289","CALIFORNIA FORESTRY ASSOCIATION","Forestry & Forest Products","Agriculture","Timber companies, sawmills, & others engaged in cutting down trees",75.7975434995254,24.2024565004746,"#00007FAF","#00007FAF",41506.2
"26717","COTCHETT, JOSEPH W","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",100,0,"#0000FFAF","#0000FFAF",14300
"28995989","SANTA CLARA & SAN BENITO COUNTIES BUILDING & CONSTRUCTION TRADES COUNCIL","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",8900
"2818","WELLS FARGO","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",65.9028414298808,34.0971585701192,"#00004DAF","#00004DAF",109100
"16394","TEJON RANCH","Real Estate","Finance, Insurance & Real Estate","Real estate developers & subdividers",28.4090909090909,71.5909090909091,"#700000AF","#700000AF",35200
"349011","TWENTIETH CENTURY FOX FILM CORP","TV & Movie Production/Distribution","Communications & Electronics","Broadcasting & motion pictures",64.2487046632124,35.7512953367876,"#000047AF","#000047AF",19300
"3902","JP MORGAN CHASE","Miscellaneous Finance, Insurance & Real Estate","Finance, Insurance & Real Estate","Finance, insurance & real estate",68.9703808180536,31.0296191819464,"#00005CAF","#00005CAF",70900
"2521","SUREWEST COMMUNICATIONS","Telecom Services & Equipment","Communications & Electronics","Telecommunications",0,100,"#FF0000AF","#FF0000AF",8800
"377","BLUE DIAMOND GROWERS","Crop Production & Basic Processing","Agriculture","Vegetables, fruits & tree nuts",19.7044334975369,80.2955665024631,"#9E0000AF","#9E0000AF",10150
"1589","LYONS-MAGNUS","Food Processing & Sales","Agriculture","Food & kindred products manufacturing",0,100,"#FF0000AF","#FF0000AF",7900
"660962","CONSOLIDATED LAND CO","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",5400
"15730","SAN FRANCISCO POLICE OFFICERS ASSOCIATION LOCAL 9","Public Sector Unions","Labor","Police & fire fighters unions and associations",100,0,"#0000FFAF","#0000FFAF",5650
"4416","LOS ANGELES COUNTY PROFESSIONAL PEACE OFFICERS ASSOCIATION","Public Sector Unions","Labor","Police & fire fighters unions and associations",94.5652173913043,5.43478260869565,"#0000E0AF","#0000E0AF",18400
"203361","ORANGE COUNTY COALITION OF POLICE & SHERIFFS","Public Sector Unions","Labor","Police & fire fighters unions and associations",86.7256637168142,13.2743362831858,"#0000B8AF","#0000B8AF",11300
"266335","ANAHEIM POLICE OFFICERS ASSOCIATION","Public Sector Unions","Labor","Police & fire fighters unions and associations",100,0,"#0000FFAF","#0000FFAF",8800
"15728","SAN FRANCISCO BAR PILOTS","Sea Transport","Transportation","Sea freight & passenger services",76.6146941235399,23.3853058764601,"#000085AF","#000085AF",44899.99
