"node_1","node_2","edge"
1,10041,4
10021,10041,4
1,10063,5
10041,10063,1
1,10080,5
10041,10080,1
10063,10080,5
1,10128,1
10047,10128,4
1,10131,5
10063,10131,2
10080,10131,5
10128,10131,5
1,10149,5
10021,10149,5
10063,10149,4
10080,10149,5
10063,10223,4
1,1025,5
10041,1025,1
10063,1025,5
10080,1025,5
10149,1025,5
1,10358,3
10041,10358,1
10063,10358,3
10149,10358,1
10223,10358,5
1025,10358,4
1,1039,5
10063,1039,5
10080,1039,4
10131,1039,3
10149,1039,3
10223,1039,3
1025,1039,5
10358,1039,5
1,10395,5
10021,10395,3
10041,10395,2
10063,10395,5
10080,10395,3
10128,10395,4
10131,10395,4
10149,10395,5
1025,10395,5
10358,10395,2
1039,10395,2
1,10450,3
10021,10450,1
10063,10450,1
10080,10450,4
10223,10450,1
1025,105204,1
1,10653536,4
10041,10653536,5
10063,10653536,5
10128,10653536,1
10149,10653536,3
10223,10653536,3
1025,10653536,5
10358,10653536,5
10395,10653536,5
10450,10653536,5
1,10675006,5
10021,10675006,5
10063,10675006,5
10080,10675006,4
10149,10675006,2
10223,10675006,5
1025,10675006,5
10358,10675006,5
1039,10675006,5
10395,10675006,3
10653536,10675006,2
10021,10707,5
10223,10707,1
10675006,10707,4
1,10708,5
10021,10708,5
10041,10708,3
10149,10708,4
1025,10708,5
10358,10708,5
10395,10708,5
10653536,10708,5
10675006,10708,5
10707,10708,5
1,10710,5
10021,10710,5
10041,10710,4
10149,10710,5
1025,10710,5
10358,10710,5
10395,10710,5
10450,10710,1
10653536,10710,5
10675006,10710,5
10707,10710,5
10708,10710,5
1,10713,4
10021,10713,5
10041,10713,1
10047,10713,1
10063,10713,2
10149,10713,4
10223,10713,3
1025,10713,3
10358,10713,3
10395,10713,3
10653536,10713,5
10707,10713,3
10708,10713,5
10710,10713,5
10021,10716,5
10080,10716,1
10358,10716,1
10675006,10716,1
10707,10716,3
10708,10716,3
10710,10716,5
1,10717,5
10063,10717,5
10080,10717,5
10131,10717,1
10149,10717,5
1025,10717,5
10358,10717,2
1039,10717,5
10395,10717,5
105204,10717,5
10653536,10717,4
10675006,10717,2
10708,10717,4
10710,10717,5
10713,10717,3
1,10721,5
10021,10721,5
10063,10721,2
10080,10721,5
10149,10721,3
1025,10721,5
10358,10721,2
1039,10721,3
10395,10721,4
10653536,10721,2
10675006,10721,4
10707,10721,3
10708,10721,5
10710,10721,5
10713,10721,3
10717,10721,5
1,10723,5
10041,10723,2
10063,10723,1
10080,10723,1
10128,10723,4
10149,10723,5
1025,10723,5
10358,10723,5
10395,10723,5
10450,10723,1
105204,10723,1
10653536,10723,5
10708,10723,5
10710,10723,5
10713,10723,5
10717,10723,5
10721,10723,5
1,10725,5
10047,10725,1
10128,10725,1
10149,10725,5
1025,10725,5
10358,10725,5
10395,10725,5
105204,10725,2
10653536,10725,5
10708,10725,5
10710,10725,5
10713,10725,5
10717,10725,5
10721,10725,1
10723,10725,5
1,10726,5
10021,10726,5
10063,10726,5
10080,10726,5
10131,10726,3
10149,10726,3
1025,10726,5
1039,10726,5
10395,10726,2
105204,10726,5
10675006,10726,4
10708,10726,1
10710,10726,3
10717,10726,5
10721,10726,5
10063,10731,2
10223,10731,4
10450,10731,2
10707,10731,5
10713,10731,2
10128,10733,5
10131,10733,2
10395,10733,3
10723,10733,1
10063,10734,3
10223,10734,2
10358,10734,1
10653536,10734,3
10670,10734,5
10733,10734,1
1,10737,5
10047,10737,2
10063,10737,3
10080,10737,3
10128,10737,5
10131,10737,4
1025,10737,3
1039,10737,5
105204,10737,3
10717,10737,1
10726,10737,4
10733,10737,3
10021,10743,5
10063,10743,1
10223,10743,5
10358,10743,5
1039,10743,4
10653536,10743,5
10675006,10743,5
10707,10743,5
10708,10743,5
10710,10743,5
10713,10743,5
10131,10749,4
10223,10749,2
