"node_1","node_2","edge"
1,10063,2
10041,10129,2
1,10131,5
1,10149,5
10041,10149,1
10129,10149,4
100247,1020,4
10041,10223,2
10063,10223,5
10149,10223,5
10041,1025,1
10129,1025,5
10149,1025,3
10223,1025,1
10041,10358,4
10063,10358,1
10129,10358,5
10149,10358,5
10223,10358,5
1025,10358,5
10129,1039,2
1017,1039,5
10358,1039,4
1,10395,5
10041,10395,3
10129,10395,3
10149,10395,4
1017,10395,2
1025,10395,2
10358,10395,1
10129,10450,5
10149,10450,2
1017,10450,5
1025,10450,5
10358,10450,5
10395,10450,2
10131,105204,3
1,10653536,5
10149,10653536,4
10395,10653536,1
10041,10670,5
10063,10670,5
10129,10670,5
10149,10670,2
1025,10670,5
1039,10670,5
10395,10670,5
10450,10670,3
10041,10675006,5
10063,10675006,2
10129,10675006,5
10149,10675006,5
1025,10675006,5
10358,10675006,5
1039,10675006,5
10395,10675006,5
10450,10675006,5
10670,10675006,5
1,10707,5
10129,10707,2
10223,10707,2
10395,10707,5
10653536,10707,2
10670,10707,5
10675006,10707,5
10670,10708,4
10675006,10708,2
1020,10710,5
1039,10710,2
10707,10710,3
1,10713,3
100247,10713,1
10041,10713,1
10129,10713,2
10131,10713,1
10149,10713,1
1020,10713,5
1025,10713,2
10358,10713,3
1039,10713,5
10450,10713,3
10670,10713,3
10675006,10713,5
10707,10713,2
1,10716,5
1017,10716,2
10653536,10716,2
10708,10716,1
10713,10716,2
1,10717,1
10223,10717,2
10395,10717,2
10653536,10717,1
10670,10717,2
10675006,10717,1
10707,10717,1
10708,10717,5
1017,10721,5
10708,10721,1
10129,10724,4
10223,10724,4
10358,10724,2
1039,10724,3
10717,10724,2
10721,10724,2
1,10725,4
10149,10725,2
1017,10725,3
10223,10725,5
10358,10725,5
1,10726,2
1017,10726,4
1025,10726,5
10358,10726,3
10450,10726,5
10653536,10726,1
10675006,10726,3
10708,10726,5
10725,10726,2
1017,10733,5
1025,10733,3
10450,10733,5
10708,10733,5
10716,10733,2
10717,10733,3
10721,10733,1
10726,10733,5
10041,10734,2
10129,10734,3
1017,10734,5
1025,10734,5
1039,10734,2
10395,10734,2
10450,10734,5
10670,10734,5
10675006,10734,5
10707,10734,3
10708,10734,1
10721,10734,1
10725,10734,1
10726,10734,5
10733,10734,5
1039,10736,5
105204,10736,5
10670,10736,5
10707,10736,1
10708,10736,5
10713,10736,3
10716,10736,3
10717,10736,5
10721,10736,2
10724,10736,2
10733,10736,5
1020,10737,5
1039,10737,1
10707,10737,2
10708,10737,5
10710,10737,5
10717,10737,1
10721,10737,2
10726,10737,5
10041,10743,1
10063,10743,1
10129,10743,2
10149,10743,3
10223,10743,5
1025,10743,5
10358,10743,5
10450,10743,2
10670,10743,5
10675006,10743,5
10717,10743,1
10725,10743,5
10726,10743,5
10733,10743,5
10734,10743,5
10041,10749,4
10129,10749,5
10149,10749,3
1025,10749,4
10358,10749,5
1039,10749,5
10450,10749,5
10670,10749,5
10675006,10749,5
10707,10749,3
10708,10749,1
10713,10749,5
10726,10749,2
10736,10749,5
1,10751,3
10129,10751,1
10223,10751,3
1025,10751,1
10358,10751,1
10395,10751,3
10670,10751,5
10675006,10751,5
10707,10751,5
10708,10751,5
10717,10751,3
10734,10751,2
10736,10751,4
10737,10751,5
1,10753,3
10131,10753,1
1020,10753,3
10358,10753,1
105204,10753,5
10675006,10753,1
10708,10753,5
10710,10753,5
10713,10753,1
10716,10753,2
10733,10753,4
10736,10753,5
10737,10753,3
10041,10754,4
10063,10754,1
10129,10754,2
1017,10754,3
10358,10754,3
10395,10754,5
10450,10754,5
10675006,10754,5
10707,10754,1
10708,10754,5
10710,10754,3
10713,10754,1
10716,10754,2
10717,10754,5
10721,10754,5
10726,10754,5
10733,10754,5
10736,10754,4
10749,10754,4
10751,10754,3
10753,10754,5
10041,10761,2
10063,10761,1
10129,10761,5
10149,10761,5
10223,10761,5
1025,10761,5
10358,10761,5
10395,10761,3
10450,10761,1
10670,10761,5
10675006,10761,5
10707,10761,4
10717,10761,1
10725,10761,2
10734,10761,5
10743,10761,5
10751,10761,5
10129,10764,4
10149,10764,1
1025,10764,2
10358,10764,4
10395,10764,4
10450,10764,1
10670,10764,3
10675006,10764,5
10713,10764,2
10734,10764,1
10743,10764,2
10749,10764,2
10754,10764,3
10761,10764,2
10129,10765,1
10149,10765,3
10223,10765,5
1025,10765,1
10358,10765,5
10395,10765,1
10670,10765,1
10675006,10765,5
10743,10765,2
10749,10765,5
10754,10765,3
10761,10765,4
1,10766,5
100247,10766,1
10041,10766,2
1017,10766,5
1020,10766,5
1025,10766,1
10358,10766,1
10395,10766,5
10450,10766,4
10653536,10766,5
10675006,10766,1
10707,10766,2
10713,10766,2
10717,10766,3
10721,10766,1
10726,10766,4
10733,10766,3
10734,10766,4
10754,10766,5
10764,10766,2
10041,10769,1
10129,10769,1
1017,10769,5
1020,10769,2
10223,10769,5
1025,10769,3
10358,10769,5
10395,10769,2
10450,10769,5
10675006,10769,4
10713,10769,2
10717,10769,1
10725,10769,2
10726,10769,5
10733,10769,5
10734,10769,5
10743,10769,3
10749,10769,3
10754,10769,5
10764,10769,2
10765,10769,3
10766,10769,5
100247,10770,1
1020,10770,5
1039,10770,2
105204,10770,3
10710,10770,5
10737,10770,5
10753,10770,5
10041,10774,3
10063,10774,1
1017,10774,4
10395,10774,5
10707,10774,3
10713,10774,1
10717,10774,3
10721,10774,1
10725,10774,2
10743,10774,3
10751,10774,2
10754,10774,5
10761,10774,1
10764,10774,5
10765,10774,3
10766,10774,5
10769,10774,3
1,10775,3
10129,10775,5
1025,10775,2
10358,10775,1
10395,10775,4
10450,10775,1
10653536,10775,1
10670,10775,5
10675006,10775,5
10707,10775,2
10708,10775,1
10717,10775,1
10726,10775,2
10734,10775,5
10737,10775,2
10743,10775,1
10751,10775,2
10754,10775,3
10761,10775,4
10766,10775,1
10774,10775,3
10041,10777,1
10129,10777,5
10149,10777,5
1017,10777,2
1025,10777,5
10358,10777,5
1039,10777,1
10395,10777,5
10450,10777,5
10653536,10777,2
10670,10777,5
10675006,10777,5
10707,10777,1
10713,10777,2
10725,10777,1
10734,10777,3
10743,10777,3
10749,10777,5
10754,10777,3
10761,10777,5
10764,10777,3
10765,10777,3
10766,10777,2
10769,10777,2
10774,10777,5
10775,10777,2
10395,10778,2
10670,10778,2
10675006,10778,1
10749,10778,2
10774,10778,2
10129,10782,1
1017,10782,2
10223,10782,2
1025,10782,2
1039,10782,1
10395,10782,3
10450,10782,2
10670,10782,5
10675006,10782,5
10707,10782,2
10710,10782,1
10713,10782,2
10725,10782,2
10726,10782,2
10733,10782,2
10734,10782,3
10736,10782,2
10743,10782,2
10749,10782,3
