"node_1","node_2","edge"
31629106,22145,5
19978,22145,5
4416,22145,5
14103,19104,5
20416,19104,5
19733,19104,5
19613,19104,5
19978,19104,5
19647,19104,5
4416,19104,4
38587183,19104,5
20664,19104,5
2440270,19104,1
16046029,19104,5
4807,19289,5
13810583,19289,3
14103,19289,5
22285489,19289,5
16741209,19289,1
20205,19289,4
19894,19289,5
4238,19289,1
3295,19289,3
3298,19289,4
4414,19289,5
20131,19289,5
20377,19289,4
20416,19289,5
19177,19289,5
19733,19289,3
19613,19289,5
20831,19289,5
3447,19289,4
3125,19289,5
3705455,19289,1
20471,19289,5
19978,19289,5
19647,19289,5
951542,19289,5
18824,19289,5
22145,19289,5
19104,19289,5
13810583,20912,5
20416,20912,5
19733,20912,5
19613,20912,5
20471,20912,5
19978,20912,5
2416014,20912,2
19647,20912,5
19825,20912,1
20441,20912,5
4416,20912,3
38587183,20912,5
2440270,20912,3
22145,20912,3
19289,20912,5
16741209,20103,5
19894,20103,5
19198,20103,1
20131,20103,5
32747324,20103,5
19177,20103,4
19178,20103,3
19733,20103,5
20831,20103,1
3705455,20103,2
20471,20103,5
4722,20103,1
290457,20103,5
2416014,20103,5
17000313,20103,5
951542,20103,1
20441,20103,1
19874,20103,1
38587183,20103,5
3280,20103,2
18824,20103,2
20664,20103,5
22145,20103,5
19104,20103,2
20912,20103,5
16741209,20644,2
20205,20644,1
19894,20644,5
19445,20644,1
3298,20644,1
4414,20644,2
19198,20644,5
20377,20644,5
32747324,20644,5
19177,20644,1
19733,20644,5
20831,20644,5
3447,20644,1
3705455,20644,5
20471,20644,5
2416014,20644,5
17000313,20644,5
951542,20644,5
38587183,20644,5
20664,20644,5
22145,20644,5
19104,20644,5
20103,20644,5
16741209,38565607,1
19894,38565607,5
19445,38565607,2
19613,38565607,5
20831,38565607,5
20664,38565607,5
19733,38564263,5
290457,38564263,1
951542,38564263,5
20441,38564263,5
38587183,38564263,5
20664,38564263,5
19104,38564263,5
20644,38564263,5
229103,20472,5
278389,20472,5
252304,20472,1
100247,20472,5
14103,20472,5
85534,20472,3
20377,20472,3
32747324,20472,4
376766,20472,4
26355171,20472,3
19733,20472,1
31629106,20472,5
19629,20472,5
290457,20472,5
951542,20472,5
19825,20472,5
20441,20472,5
4416,20472,5
19874,20472,1
18824,20472,5
38564263,20472,5
13810583,20666,5
16741209,20666,3
20131,20666,2
32747324,20666,4
376766,20666,5
20524,20666,1
19177,20666,5
26355171,20666,5
19178,20666,5
19733,20666,5
19629,20666,5
20471,20666,5
4722,20666,5
290457,20666,5
2416014,20666,5
4416,20666,5
19874,20666,5
38587183,20666,5
18824,20666,5
144191,20666,5
22145,20666,5
19104,20666,2
20912,20666,5
20103,20666,5
20472,20666,3
19117,32890376,5
3288,32890376,2
20368,32890376,2
19971,32890376,1
19595,32890376,2
3295,32890376,1
19198,32890376,5
20131,32890376,2
20377,32890376,3
32747324,32890376,2
376766,32890376,5
20524,32890376,3
19177,32890376,5
26355171,32890376,5
19178,32890376,3
3447,32890376,2
20839,32890376,3
22215170,32890376,5
3127,32890376,5
4264,32890376,5
19825,32890376,5
20441,32890376,5
4416,32890376,5
19874,32890376,5
3280,32890376,3
18824,32890376,5
